number,contact_type,u_wait_reason,assignment_group,closed_at,resolved_at,u_subcategory,u_symptom,opened_at,sys_mod_count,reassignment_count
INC0113672,Email,,Service Desk,1/23/22 11:00,1/20/22 11:00,OS,Configure/Modify,1/11/22 20:30,5,0
INC0113976,Phone,,Service Desk,1/23/22 11:00,1/20/22 11:00,Office Printer,Configure/Modify,1/20/22 10:19,1,0
INC0113903,Email,,Service Desk,1/23/22 10:00,1/20/22 10:00,OS,Configure/Modify,1/19/22 9:36,3,0
INC0113641,Self-service,,Service Desk,1/23/22 10:00,1/20/22 10:00,College Account/Identity Mgmt,Connectivity/Down,1/11/22 11:28,6,0
INC0113953,Self-service,,Service Desk,1/23/22 10:00,1/20/22 10:00,Other/Not Listed,How To/Question,1/19/22 16:42,7,0
INC0113591,Email,,Service Desk,1/23/22 10:00,1/20/22 10:00,Google Mail,Security/Policy Breach,1/7/22 16:50,4,0
INC0113968,Phone,,Service Desk,1/23/22 10:00,1/20/22 10:00,College Account/Identity Mgmt,Error/Bug,1/20/22 9:36,1,0
INC0113875,Email,,Service Desk,1/23/22 10:00,1/20/22 10:00,OS,Error/Bug,1/18/22 16:20,6,0
INC0113959,Self-service,,Student Computing,1/22/22 20:00,1/19/22 20:00,College Account/Identity Mgmt,Connectivity/Down,1/19/22 18:46,6,0
INC0113956,Self-service,,Student Computing,1/22/22 19:00,1/19/22 19:00,Other Google Service,Error/Bug,1/19/22 17:51,6,0
INC0113899,Phone,,Service Desk,1/22/22 18:00,1/19/22 18:00,Wireless Network,Configure/Modify,1/19/22 9:13,3,0
INC0113949,Self-service,,Service Desk,1/22/22 18:00,1/19/22 18:00,Google Alias/Group,How To/Question,1/19/22 16:02,4,0
INC0113944,Phone,,Service Desk,1/22/22 17:00,1/19/22 17:00,College Account/Identity Mgmt,Password,1/19/22 15:23,4,0
INC0113939,Email,,Enterprise Applications,1/22/22 17:00,1/19/22 17:00,Portal,Connectivity/Down,1/19/22 14:41,3,0
INC0113629,Phone,,Service Desk,1/22/22 17:00,1/19/22 17:00,College Account/Identity Mgmt,Password,1/10/22 16:06,2,0
INC0113541,Email,,Service Desk,1/22/22 17:00,1/19/22 17:00,ERP,Password,1/5/22 15:32,8,0
INC0113946,Phone,,Service Desk,1/22/22 17:00,1/19/22 17:00,Other Google Service,How To/Question,1/19/22 15:55,1,0
INC0113933,Email,,Enterprise Applications,1/22/22 17:00,1/19/22 17:00,ERP,How To/Question,1/19/22 13:52,6,1
INC0113829,Self-service,,Networks,1/22/22 16:00,1/19/22 16:00,Wired Network,Connectivity/Down,1/18/22 11:33,22,1
INC0113940,Self-service,,Service Desk,1/22/22 16:00,1/19/22 16:00,Portal,Configure/Modify,1/19/22 14:46,5,0
INC0113850,Email,,Service Desk,1/22/22 16:00,1/19/22 16:00,Computer (Desktop/Laptop),Configure/Modify,1/18/22 14:03,5,0
INC0113942,Email,,Systems,1/22/22 16:00,1/19/22 16:00,Other/Not Listed,Configure/Modify,1/19/22 15:00,6,1
INC0113811,Email,,Purchasing,1/22/22 16:00,1/19/22 16:00,Computer (Desktop/Laptop),Install/New,1/18/22 10:26,6,1
INC0113909,Phone,,Service Desk,1/22/22 16:00,1/19/22 16:00,College Account/Identity Mgmt,Password,1/19/22 10:41,2,0
INC0113945,Walk-in,,Service Desk,1/22/22 16:00,1/19/22 16:00,College Account/Identity Mgmt,Password,1/19/22 15:25,1,0
INC0113626,Email,,Service Desk,1/22/22 16:00,1/19/22 16:00,Desktop Application,Configure/Modify,1/10/22 15:19,3,0
INC0113934,Email,,Systems,1/22/22 16:00,1/19/22 16:00,Server,Configure/Modify,1/19/22 13:54,7,1
INC0113809,Email,,Service Desk,1/22/22 16:00,1/19/22 16:00,Windows File Server (fs),Configure/Modify,1/18/22 10:24,5,0
INC0113729,Email,,Service Desk,1/22/22 15:00,1/19/22 15:00,College Account/Identity Mgmt,Password,1/13/22 20:45,6,0
INC0113938,Email,,Service Desk,1/22/22 15:00,1/19/22 15:00,OS,How To/Question,1/19/22 14:38,2,0
INC0113631,Email,,Service Desk,1/22/22 15:00,1/19/22 15:00,College Account/Identity Mgmt,Password,1/10/22 18:42,4,0
INC0113935,Email,,Service Desk,1/22/22 15:00,1/19/22 15:00,Desktop Application,Configure/Modify,1/19/22 14:18,5,0
INC0113680,Email,,Service Desk,1/22/22 14:00,1/19/22 14:00,Computer (Desktop/Laptop),Configure/Modify,1/12/22 9:50,3,1
INC0113498,Phone,,Service Desk,1/22/22 14:00,1/19/22 14:00,Office Printer,Install/New,1/4/22 10:04,15,0
INC0113901,Phone,,Service Desk,1/22/22 14:00,1/19/22 14:00,OS,Configure/Modify,1/19/22 9:21,4,0
INC0113920,Email,,Service Desk,1/22/22 14:00,1/19/22 14:00,Desktop Application,Configure/Modify,1/19/22 11:29,7,0
INC0113739,Self-service,,Service Desk,1/22/22 14:00,1/19/22 14:00,WebAdvisor,Configure/Modify,1/14/22 11:29,9,2
INC0113925,Email,,Service Desk,1/22/22 14:00,1/19/22 14:00,Desktop Application,Configure/Modify,1/19/22 12:17,4,0
INC0113570,Self-service,,Service Desk,1/22/22 14:00,1/19/22 14:00,Computer (Desktop/Laptop),Configure/Modify,1/6/22 16:23,9,0
INC0113927,Phone,,Service Desk,1/22/22 14:00,1/19/22 14:00,Portal,Configure/Modify,1/19/22 12:31,3,0
INC0113898,Self-service,,Service Desk,1/22/22 13:00,1/19/22 13:00,Desktop Application,Configure/Modify,1/19/22 8:52,4,0
INC0113876,Self-service,,Student Computing,1/22/22 13:00,1/19/22 13:00,General Information,How To/Question,1/18/22 16:27,4,0
INC0113926,Phone,,Service Desk,1/22/22 13:00,1/19/22 13:00,College Account/Identity Mgmt,Error/Bug,1/19/22 12:23,1,0
INC0113915,Email,,Student Computing,1/22/22 13:00,1/19/22 13:00,College Account/Identity Mgmt,Performance,1/19/22 11:07,5,0
INC0113929,Phone,,Service Desk,1/22/22 13:00,1/19/22 13:00,Wireless Network,Configure/Modify,1/19/22 12:54,1,0
INC0113928,Phone,,Service Desk,1/22/22 13:00,1/19/22 13:00,College Account/Identity Mgmt,Password,1/19/22 12:45,1,0
INC0113782,Self-service,,Student Computing,1/22/22 13:00,1/19/22 13:00,Portal,Connectivity/Down,1/17/22 16:26,5,0
INC0113921,Self-service,,Service Desk,1/22/22 13:00,1/19/22 13:00,Computer (Desktop/Laptop),Broken/Not Working,1/19/22 11:29,4,0
INC0113911,Email,,Service Desk,1/22/22 12:00,1/19/22 12:00,College Account/Identity Mgmt,Password,1/19/22 10:47,2,0
INC0113787,Email,,Student Computing,1/22/22 12:00,1/19/22 12:00,Other Google Service,How To/Question,1/17/22 20:33,5,0
INC0113786,Email,,Student Computing,1/22/22 12:00,1/19/22 12:00,Courseworks,How To/Question,1/17/22 19:03,4,0
INC0113781,Self-service,,Student Computing,1/22/22 12:00,1/19/22 12:00,General Information,How To/Question,1/17/22 16:05,5,0
INC0113773,Self-service,,Student Computing,1/22/22 12:00,1/19/22 12:00,Other Google Service,Error/Bug,1/17/22 9:02,5,0
INC0113823,Email,,Student Computing,1/22/22 12:00,1/19/22 12:00,Portal,Connectivity/Down,1/18/22 10:55,6,1
INC0113825,Self-service,,Student Computing,1/22/22 12:00,1/19/22 12:00,General Information,How To/Question,1/18/22 11:07,5,0
INC0113893,Email,,Student Computing,1/22/22 12:00,1/19/22 12:00,Portal,Error/Bug,1/18/22 22:50,5,0
INC0113895,Self-service,,Student Computing,1/22/22 12:00,1/19/22 12:00,Portal,Error/Bug,1/19/22 6:31,5,0
INC0113897,Email,,Service Desk,1/22/22 12:00,1/19/22 12:00,Portal,Connectivity/Down,1/19/22 8:22,4,0
INC0113862,Email,,Student Computing,1/22/22 12:00,1/19/22 12:00,Desktop Application,How To/Question,1/18/22 14:56,4,1
INC0113775,Email,,Service Desk,1/22/22 12:00,1/19/22 12:00,Computer (Desktop/Laptop),Configure/Modify,1/17/22 10:44,10,0
INC0113912,Email,,Service Desk,1/22/22 12:00,1/19/22 12:00,Portal,Error/Bug,1/19/22 10:53,4,0
INC0113817,Email,,Student Computing,1/22/22 12:00,1/19/22 12:00,Courseworks,How To/Question,1/18/22 10:43,6,0
INC0113914,Self-service,,Service Desk,1/22/22 12:00,1/19/22 12:00,Desktop Application,Error/Bug,1/19/22 11:07,1,0
INC0113917,Email,,Service Desk,1/22/22 12:00,1/19/22 12:00,Computer (Desktop/Laptop),Broken/Not Working,1/19/22 11:11,6,0
INC0113771,Self-service,,Student Computing,1/22/22 12:00,1/19/22 12:00,Other Google Service,Error/Bug,1/16/22 23:02,5,0
INC0113919,Self-service,,Service Desk,1/22/22 12:00,1/19/22 12:00,Desktop Application,Configure/Modify,1/19/22 11:24,2,0
INC0113794,Email,,Student Computing,1/22/22 12:00,1/19/22 12:00,Portal,Connectivity/Down,1/18/22 9:04,6,1
INC0113795,Email,,Student Computing,1/22/22 12:00,1/19/22 12:00,Portal,Connectivity/Down,1/18/22 9:08,5,0
INC0113820,Email,,Student Computing,1/22/22 12:00,1/19/22 12:00,Portal,Connectivity/Down,1/18/22 10:48,5,0
INC0113770,Self-service,,Student Computing,1/22/22 12:00,1/19/22 12:00,MFA,Error/Bug,1/16/22 19:24,6,0
INC0113838,Email,,Student Computing,1/22/22 12:00,1/19/22 12:00,Google Docs/Drive,How To/Question,1/18/22 12:37,6,0
INC0113900,Email,,Student Computing,1/22/22 12:00,1/19/22 12:00,Portal,Configure/Modify,1/19/22 9:14,9,1
INC0113832,Self-service,,Networks,1/22/22 12:00,1/19/22 12:00,Wired Network,Configure/Modify,1/18/22 11:40,15,1
INC0113846,Email,,Student Computing,1/22/22 12:00,1/19/22 12:00,Other Google Service,How To/Question,1/18/22 13:39,5,0
INC0113913,Phone,,Service Desk,1/22/22 12:00,1/19/22 12:00,College Account/Identity Mgmt,Error/Bug,1/19/22 11:05,1,0
INC0113793,Email,,Student Computing,1/22/22 12:00,1/19/22 12:00,Other Google Service,Error/Bug,1/18/22 8:00,5,0
INC0113779,Email,,Student Computing,1/22/22 12:00,1/19/22 12:00,Google Mail,Error/Bug,1/17/22 14:03,6,0
INC0113731,Email,,Student Computing,1/22/22 12:00,1/19/22 12:00,MFA,Configure/Modify,1/14/22 9:49,5,0
INC0113892,Email,,Service Desk,1/22/22 12:00,1/19/22 12:00,Portal,Connectivity/Down,1/18/22 18:57,4,0
INC0113737,Self-service,,Student Computing,1/22/22 12:00,1/19/22 12:00,General Information,How To/Question,1/14/22 11:14,4,0
INC0113881,Self-service,,Student Computing,1/22/22 11:00,1/19/22 11:00,General Information,How To/Question,1/18/22 16:55,5,0
INC0113761,Self-service,,Student Computing,1/22/22 11:00,1/19/22 11:00,Other Google Service,Error/Bug,1/14/22 17:46,4,0
INC0113762,Email,,Student Computing,1/22/22 11:00,1/19/22 11:00,Other Google Service,Error/Bug,1/14/22 18:57,5,0
INC0113826,Email,,Student Computing,1/22/22 11:00,1/19/22 11:00,Other Google Service,How To/Question,1/18/22 11:17,6,0
INC0113777,Self-service,,Student Computing,1/22/22 11:00,1/19/22 11:00,Other Google Service,Error/Bug,1/17/22 13:16,5,0
INC0113742,Self-service,,Student Computing,1/22/22 11:00,1/19/22 11:00,Portal,Error/Bug,1/14/22 12:02,4,0
INC0113745,Self-service,,Student Computing,1/22/22 11:00,1/19/22 11:00,Other Google Service,Error/Bug,1/14/22 12:12,8,0
INC0113603,Email,,Student Computing,1/22/22 11:00,1/19/22 11:00,Other/Not Listed,Connectivity/Down,1/10/22 9:42,11,0
INC0113594,Email,,Student Computing,1/22/22 11:00,1/19/22 11:00,College Account/Identity Mgmt,Configure/Modify,1/8/22 17:12,6,0
INC0113607,Email,,Student Computing,1/22/22 11:00,1/19/22 11:00,Other/Not Listed,Connectivity/Down,1/10/22 9:50,4,0
INC0113619,Email,,Student Computing,1/22/22 11:00,1/19/22 11:00,Other/Not Listed,Error/Bug,1/10/22 11:14,6,0
INC0113780,Email,,Student Computing,1/22/22 11:00,1/19/22 11:00,Portal,Connectivity/Down,1/17/22 15:18,3,0
INC0113902,Phone,,Service Desk,1/22/22 10:00,1/19/22 10:00,Other Google Service,How To/Question,1/19/22 9:23,1,0
INC0113880,Phone,,Service Desk,1/22/22 10:00,1/19/22 10:00,College Account/Identity Mgmt,Password,1/18/22 16:51,3,0
INC0113681,Self-service,,Service Desk,1/22/22 10:00,1/19/22 10:00,Desktop Application,Configure/Modify,1/12/22 10:06,10,0
INC0113593,Email,,Student Computing,1/22/22 10:00,1/19/22 10:00,MFA,Configure/Modify,1/8/22 14:47,4,0
INC0113888,Email,,Service Desk,1/22/22 10:00,1/19/22 10:00,College Account/Identity Mgmt,How To/Question,1/18/22 18:12,3,0
INC0113872,Phone,,Service Desk,1/22/22 10:00,1/19/22 10:00,College Account/Identity Mgmt,Password,1/18/22 16:12,3,0
INC0113870,Phone,,Service Desk,1/22/22 10:00,1/19/22 10:00,OS,Error/Bug,1/18/22 16:00,3,0
INC0113886,Email,,Student Computing,1/22/22 9:00,1/19/22 9:00,Google Mail,Error/Bug,1/18/22 17:58,5,0
INC0113883,Email,,Student Computing,1/21/22 19:00,1/18/22 19:00,MFA,Configure/Modify,1/18/22 17:22,5,1
INC0113833,Email,,Enterprise Applications,1/21/22 17:00,1/18/22 17:00,ERP,Configure/Modify,1/18/22 11:49,5,1
INC0113857,Self-service,,Service Desk,1/21/22 17:00,1/18/22 17:00,Computer (Desktop/Laptop),Install/New,1/18/22 14:26,6,0
INC0113854,Email,,Service Desk,1/21/22 17:00,1/18/22 17:00,Desktop Application,How To/Question,1/18/22 14:23,4,0
INC0113623,Phone,,Service Desk,1/21/22 17:00,1/18/22 17:00,Other/Not Listed,How To/Question,1/10/22 13:55,3,0
INC0113865,Email,,Service Desk,1/21/22 17:00,1/18/22 17:00,Desktop Application,Error/Bug,1/18/22 15:06,6,0
INC0113871,Email,,Service Desk,1/21/22 17:00,1/18/22 17:00,General Information,How To/Question,1/18/22 16:10,2,0
INC0113722,Email,,Service Desk,1/21/22 17:00,1/18/22 17:00,Desktop Application,How To/Question,1/13/22 16:40,4,0
INC0113867,Self-service,,Service Desk,1/21/22 16:00,1/18/22 16:00,Desktop Application,Error/Bug,1/18/22 15:14,6,0
INC0113868,Walk-in,,Service Desk,1/21/22 16:00,1/18/22 16:00,Computer (Desktop/Laptop),Loaner Equipment,1/18/22 15:29,1,0
INC0113852,Email,,Service Desk,1/21/22 16:00,1/18/22 16:00,Computer (Desktop/Laptop),Configure/Modify,1/18/22 14:15,6,0
INC0113848,Walk-in,,Service Desk,1/21/22 15:00,1/18/22 15:00,College Account/Identity Mgmt,Password,1/18/22 13:58,1,0
INC0113851,Phone,,Service Desk,1/21/22 15:00,1/18/22 15:00,College Account/Identity Mgmt,Password,1/18/22 14:14,1,0
INC0113805,Email,,Systems,1/21/22 15:00,1/18/22 15:00,Windows File Server (fs),Configure/Modify,1/18/22 10:02,6,1
INC0113687,Self-service,,Service Desk,1/21/22 15:00,1/18/22 15:00,Computer (Desktop/Laptop),Configure/Modify,1/12/22 15:07,4,0
INC0113842,Email,,Service Desk,1/21/22 15:00,1/18/22 15:00,Desktop Application,Configure/Modify,1/18/22 13:01,7,0
INC0113605,Email,,Student Computing,1/21/22 14:00,1/18/22 14:00,Other/Not Listed,Connectivity/Down,1/10/22 9:46,12,0
INC0113784,Email,,Student Computing,1/21/22 14:00,1/18/22 14:00,Portal,Connectivity/Down,1/17/22 17:14,5,0
INC0113843,Phone,,Service Desk,1/21/22 14:00,1/18/22 14:00,OS,Performance,1/18/22 13:03,1,0
INC0113711,Email,,Student Computing,1/21/22 14:00,1/18/22 14:00,MFA,Configure/Modify,1/13/22 11:55,5,0
INC0113488,Self-service,,Student Computing,1/21/22 14:00,1/18/22 14:00,College Account/Identity Mgmt,Configure/Modify,1/3/22 17:17,5,0
INC0113847,Walk-in,,Student Computing,1/21/22 14:00,1/18/22 14:00,Desktop Application,Error/Bug,1/18/22 13:49,1,0
INC0113837,Self-service,,Student Computing,1/21/22 13:00,1/18/22 13:00,Other Google Service,How To/Question,1/18/22 12:24,5,0
INC0113587,Phone,,Service Desk,1/21/22 13:00,1/18/22 13:00,WebAdvisor,Configure/Modify,1/7/22 12:19,2,0
INC0113839,Walk-in,,Service Desk,1/21/22 13:00,1/18/22 13:00,College Account/Identity Mgmt,Password,1/18/22 12:38,2,0
INC0113824,Phone,,Service Desk,1/21/22 12:00,1/18/22 12:00,Portal,How To/Question,1/18/22 11:05,1,0
INC0113827,Phone,,Service Desk,1/21/22 12:00,1/18/22 12:00,Desktop Application,Configure/Modify,1/18/22 11:25,1,0
INC0113822,Self-service,,Student Computing,1/21/22 12:00,1/18/22 12:00,Portal,Connectivity/Down,1/18/22 10:55,5,0
INC0113810,Email,,Service Desk,1/21/22 12:00,1/18/22 12:00,Computer (Desktop/Laptop),Relocate/Transfer,1/18/22 10:24,6,2
INC0113814,Email,,Student Computing,1/21/22 12:00,1/18/22 12:00,Portal,Connectivity/Down,1/18/22 10:37,7,1
INC0113807,Email,,Student Computing,1/21/22 12:00,1/18/22 12:00,Portal,Connectivity/Down,1/18/22 10:16,8,1
INC0113702,Self-service,,Service Desk,1/21/22 11:00,1/18/22 11:00,Desktop Application,Connectivity/Down,1/13/22 9:49,10,0
INC0113791,Self-service,,Student Computing,1/21/22 11:00,1/18/22 11:00,Other Google Service,Error/Bug,1/18/22 3:22,6,0
INC0113778,Email,,Service Desk,1/21/22 11:00,1/18/22 11:00,Desktop Application,Configure/Modify,1/17/22 13:45,7,0
INC0113815,Email,,Service Desk,1/21/22 11:00,1/18/22 11:00,Desktop Application,Configure/Modify,1/18/22 10:40,4,0
INC0113812,Phone,,Service Desk,1/21/22 11:00,1/18/22 11:00,College Account/Identity Mgmt,Error/Bug,1/18/22 10:26,1,0
INC0113816,Phone,,Student Computing,1/21/22 11:00,1/18/22 11:00,MFA,How To/Question,1/18/22 10:43,2,0
INC0113580,Self-service,,Service Desk,1/21/22 11:00,1/18/22 11:00,VPN/Remote Access,Configure/Modify,1/7/22 9:56,3,0
INC0113800,Self-service,,Service Desk,1/21/22 11:00,1/18/22 11:00,Portal,Error/Bug,1/18/22 9:26,4,0
INC0113818,Self-service,,Student Computing,1/21/22 11:00,1/18/22 11:00,Desktop Application,How To/Question,1/18/22 10:44,4,0
INC0113813,Self-service,,Service Desk,1/21/22 11:00,1/18/22 11:00,Desktop Application,Connectivity/Down,1/18/22 10:28,2,0
INC0113584,Self-service,,Service Desk,1/21/22 11:00,1/18/22 11:00,Desktop Application,Configure/Modify,1/7/22 10:42,12,0
INC0113801,Email,,Service Desk,1/21/22 10:00,1/18/22 10:00,College Account/Identity Mgmt,Error/Bug,1/18/22 9:30,4,0
INC0113769,Email,,Service Desk,1/21/22 10:00,1/18/22 10:00,College Account/Identity Mgmt,Password,1/16/22 15:13,4,0
INC0113796,Walk-in,,Service Desk,1/21/22 10:00,1/18/22 10:00,College Account/Identity Mgmt,Password,1/18/22 9:11,2,0
INC0113483,Email,,Student Computing,1/21/22 10:00,1/18/22 10:00,Google Mail,Configure/Modify,1/3/22 9:44,5,1
INC0113492,Email,,Student Computing,1/21/22 10:00,1/18/22 10:00,General Information,How To/Question,1/4/22 9:40,5,0
INC0113531,Email,,Service Desk,1/21/22 10:00,1/18/22 10:00,Computer (Desktop/Laptop),Maintenance,1/5/22 10:43,11,0
INC0113766,Email,,Systems,1/21/22 10:00,1/18/22 10:00,Wired Network,Connectivity/Down,1/16/22 11:13,5,1
INC0113797,Phone,,Service Desk,1/21/22 10:00,1/18/22 10:00,College Account/Identity Mgmt,Error/Bug,1/18/22 9:16,1,0
INC0113792,Email,,Service Desk,1/21/22 10:00,1/18/22 10:00,College Account/Identity Mgmt,Error/Bug,1/18/22 6:33,2,0
INC0113789,Self-service,,Service Desk,1/21/22 10:00,1/18/22 10:00,General Information,How To/Question,1/17/22 22:46,2,0
INC0113804,Phone,,Service Desk,1/21/22 10:00,1/18/22 10:00,College Account/Identity Mgmt,Password,1/18/22 9:57,1,0
INC0113802,Phone,,Service Desk,1/21/22 10:00,1/18/22 10:00,Desktop Application,Error/Bug,1/18/22 9:44,1,0
INC0113512,Self-service,,Student Computing,1/21/22 10:00,1/18/22 10:00,MFA,Configure/Modify,1/4/22 15:43,4,0
INC0113774,Email,,Service Desk,1/20/22 19:00,1/17/22 19:00,Desktop Application,Configure/Modify,1/17/22 10:02,3,0
INC0113785,Self-service,,Service Desk,1/20/22 19:00,1/17/22 19:00,Desktop Application,Configure/Modify,1/17/22 17:41,2,0
INC0113530,Email,,Student Computing,1/20/22 18:00,1/17/22 18:00,College Account/Identity Mgmt,Configure/Modify,1/5/22 10:26,4,0
INC0113544,Email,,Student Computing,1/20/22 12:00,1/17/22 12:00,General Information,How To/Question,1/5/22 17:24,3,0
INC0113507,Self-service,,Service Desk,1/7/22 17:00,1/4/22 17:00,Windows File Server (fs),Configure/Modify,1/4/22 14:53,5,0
INC0113543,Email,,Service Desk,1/17/22 18:00,1/14/22 18:00,College Account/Identity Mgmt,Configure/Modify,1/5/22 16:50,3,0
INC0113752,Email,,Service Desk,1/17/22 16:00,1/14/22 16:00,Computer (Desktop/Laptop),How To/Question,1/14/22 13:28,3,0
INC0113757,Email,,Service Desk,1/17/22 16:00,1/14/22 16:00,Google Mail,How To/Question,1/14/22 14:44,5,0
INC0113753,Email,,Service Desk,1/17/22 16:00,1/14/22 16:00,Desktop Application,Error/Bug,1/14/22 13:48,4,0
INC0113735,Email,,Enterprise Applications,1/17/22 16:00,1/14/22 16:00,Informer,Configure/Modify,1/14/22 11:01,14,1
INC0113755,Phone,,Service Desk,1/17/22 15:00,1/14/22 15:00,College Account/Identity Mgmt,Password,1/14/22 14:10,2,0
INC0113732,Phone,,Service Desk,1/17/22 15:00,1/14/22 15:00,Desktop Application,Configure/Modify,1/14/22 9:50,3,0
INC0113756,Phone,,Service Desk,1/17/22 15:00,1/14/22 15:00,College Account/Identity Mgmt,Password,1/14/22 14:34,1,0
INC0113693,Email,,Enterprise Applications,1/17/22 14:00,1/14/22 14:00,ERP,Configure/Modify,1/12/22 16:30,6,1
INC0113695,Self-service,,Enterprise Applications,1/17/22 14:00,1/14/22 14:00,ERP,Configure/Modify,1/12/22 16:46,6,1
INC0113751,Phone,,Service Desk,1/17/22 14:00,1/14/22 14:00,College Account/Identity Mgmt,Password,1/14/22 13:24,2,0
INC0113750,Phone,,Service Desk,1/17/22 14:00,1/14/22 14:00,College Account/Identity Mgmt,Password,1/14/22 13:04,2,0
INC0113717,Email,,Enterprise Applications,1/17/22 14:00,1/14/22 14:00,ERP,Configure/Modify,1/13/22 13:42,6,1
INC0113740,Email,,Service Desk,1/17/22 14:00,1/14/22 14:00,Other/Not Listed,Configure/Modify,1/14/22 11:43,4,0
INC0113748,Email,,Service Desk,1/17/22 13:00,1/14/22 13:00,OS,How To/Question,1/14/22 12:30,1,0
INC0113747,Email,,Service Desk,1/17/22 13:00,1/14/22 13:00,Windows File Server (fs),Configure/Modify,1/14/22 12:22,3,0
INC0113734,Email,,Service Desk,1/17/22 12:00,1/14/22 12:00,General Information,How To/Question,1/14/22 10:52,2,0
INC0113725,Email,,Systems,1/17/22 12:00,1/14/22 12:00,College Account/Identity Mgmt,Configure/Modify,1/13/22 17:54,10,3
INC0113532,Self-service,,Service Desk,1/17/22 11:00,1/14/22 11:00,Peripheral,Replace/Upgrade,1/5/22 11:57,6,0
INC0113627,Email,,Service Desk,1/17/22 10:00,1/14/22 10:00,OS,Configure/Modify,1/10/22 15:23,4,0
INC0113698,Email,,Service Desk,1/17/22 10:00,1/14/22 10:00,VPN/Remote Access,Configure/Modify,1/13/22 8:30,4,0
INC0113724,Email,,Service Desk,1/17/22 10:00,1/14/22 10:00,General Information,How To/Question,1/13/22 17:14,2,0
INC0113728,Email,,Service Desk,1/17/22 10:00,1/14/22 10:00,Windows File Server (fs),Configure/Modify,1/13/22 19:25,2,0
INC0113514,Self-service,,Service Desk,1/16/22 17:00,1/13/22 17:00,Phone/Fax/Credit Card Line,How To/Question,1/4/22 16:11,3,0
INC0113714,Self-service,,Service Desk,1/16/22 16:00,1/13/22 16:00,Desktop Application,Error/Bug,1/13/22 13:01,10,0
INC0113503,Self-service,,Student Computing,1/16/22 16:00,1/13/22 16:00,Other Google Service,Performance,1/4/22 12:24,3,0
INC0113720,Phone,,Service Desk,1/16/22 16:00,1/13/22 16:00,Desktop Application,How To/Question,1/13/22 14:50,3,0
INC0113670,Email,,Service Desk,1/16/22 16:00,1/13/22 16:00,Desktop Application,Configure/Modify,1/11/22 20:04,4,0
INC0113719,Email,,Service Desk,1/16/22 16:00,1/13/22 16:00,College Account/Identity Mgmt,Configure/Modify,1/13/22 14:28,6,0
INC0113712,Email,,Service Desk,1/16/22 13:00,1/13/22 13:00,WebAdvisor,Connectivity/Down,1/13/22 12:11,6,0
INC0113699,Self-service,,Service Desk,1/16/22 13:00,1/13/22 13:00,VPN/Remote Access,Connectivity/Down,1/13/22 9:09,10,0
INC0113705,Phone,,Service Desk,1/16/22 12:00,1/13/22 12:00,College Account/Identity Mgmt,Error/Bug,1/13/22 10:54,1,0
INC0113707,Email,,Service Desk,1/16/22 12:00,1/13/22 12:00,Google Docs/Drive,How To/Question,1/13/22 11:21,5,0
INC0113592,Email,,Service Desk,1/16/22 12:00,1/13/22 12:00,OS,Configure/Modify,1/8/22 14:43,5,0
INC0113612,Phone,,Service Desk,1/16/22 11:00,1/13/22 11:00,MFA,Error/Bug,1/10/22 10:06,3,0
INC0113617,Email,,Service Desk,1/16/22 11:00,1/13/22 11:00,OS,Configure/Modify,1/10/22 11:04,5,0
INC0113703,Phone,,Service Desk,1/16/22 11:00,1/13/22 11:00,College Account/Identity Mgmt,Password,1/13/22 9:57,1,0
INC0113701,Email,,Service Desk,1/16/22 11:00,1/13/22 11:00,General Information,How To/Question,1/13/22 9:34,2,0
INC0113704,Phone,,Service Desk,1/16/22 11:00,1/13/22 11:00,VPN/Remote Access,How To/Question,1/13/22 10:01,1,0
INC0113678,Self-service,,Service Desk,1/16/22 11:00,1/13/22 11:00,Desktop Application,Security/Policy Breach,1/12/22 9:35,3,0
INC0113700,Phone,,Service Desk,1/16/22 10:00,1/13/22 10:00,College Account/Identity Mgmt,Password,1/13/22 9:13,1,0
INC0113479,Email,,Student Computing,1/16/22 6:00,1/13/22 6:00,Other Google Service,Performance,1/1/22 9:31,4,0
INC0113649,Email,,Service Desk,1/15/22 18:00,1/12/22 18:00,Other Google Service,How To/Question,1/11/22 12:55,6,0
INC0113668,Self-service,,Systems,1/15/22 18:00,1/12/22 18:00,Server,Configure/Modify,1/11/22 18:20,14,1
INC0113669,Self-service,,Enterprise Applications,1/15/22 17:00,1/12/22 17:00,ERP,Configure/Modify,1/11/22 19:41,14,1
INC0113666,Phone,,Service Desk,1/15/22 17:00,1/12/22 17:00,College Account/Identity Mgmt,Password,1/11/22 16:44,3,0
INC0113691,Phone,,Service Desk,1/15/22 17:00,1/12/22 17:00,OS,Configure/Modify,1/12/22 15:53,1,0
INC0113690,Self-service,,Service Desk,1/15/22 16:00,1/12/22 16:00,Other/Not Listed,Configure/Modify,1/12/22 15:43,2,0
INC0113664,Email,,Systems,1/15/22 16:00,1/12/22 16:00,ERP,Configure/Modify,1/11/22 15:13,8,1
INC0113685,Email,,Service Desk,1/15/22 14:00,1/12/22 14:00,Desktop Application,Configure/Modify,1/12/22 11:28,4,0
INC0113682,Email,,Service Desk,1/15/22 14:00,1/12/22 14:00,Desktop Application,Configure/Modify,1/12/22 10:20,8,0
INC0113636,Email,,Enterprise Applications,1/15/22 14:00,1/12/22 14:00,ERP,Configure/Modify,1/11/22 9:50,5,1
